datetime,ADX,ADXR,APO,aroondown,aroonup,AROONOSC,BOP,CCI,CMO,DX,MACD,MFI,PPO,ROCP,RSI,STOCHslowk,STOCHslowd,STOCHRSIfastk,STOCHRSIfastd,TRIX,TRIX,1day,2day,3day,4day,5day
2018-10-08,17.482919860235302,13.718042665406424,0.1828041467810806,100.0,64.28571428571429,-35.714285714285715,-0.737704918032787,-115.20431445758088,-18.774130463480954,14.664352912807011,0.329429441717482,41.77733876328434,0.8031932754903836,-0.06010230179028127,40.61293476825952,17.02209546837111,33.88638006008336,0.0,-1.0658141036401503e-14,0.2395044328391993,42.62274888635694,-0.0104308390022676,-0.013605442176870763,-0.050793650793650946,-0.0113378684807256,-0.026303854875283528
2018-10-09,17.907683340277863,13.97200496884635,0.11574719745612327,100.0,57.142857142857146,-42.85714285714286,-0.26744186046511714,-142.46600018013166,-21.05079930077474,23.429608580831186,0.27689426582271864,40.7706910368932,0.5093572009763696,-0.06512425021422454,39.47460034961263,11.760015206290868,21.364554999209187,0.0,-1.0658141036401503e-14,0.20258902085430464,44.54314444458416,-0.0032080659945004086,-0.04078826764436305,-0.0009165902841429263,-0.016040329972502376,-0.037121906507791014
2018-10-10,18.302106571745956,14.047940384696219,0.06983044447166264,92.85714285714286,50.0,-42.85714285714286,-0.03174603174603119,-124.33940587559479,-21.76948101092914,23.42960858083119,0.20698400480383988,40.34526815304975,0.3083798761036568,-0.04938811188811183,39.11525949453543,9.77010148651931,12.850737387060464,0.0,-1.0658141036401503e-14,0.15330021017334605,38.284804652849175,-0.03770114942528746,0.0022988505747125743,-0.012873563218390949,-0.03402298850574714,-0.024367816091954153
2018-10-11,19.15476975699594,14.361658363143043,0.026687186633921556,100.0,42.85714285714286,-57.142857142857146,-0.10144927536232257,-138.11256152364624,-29.82796624478335,30.239391165245717,0.11679777352147096,34.816046680727055,0.118424435364326,-0.09393939393939404,35.08601687760833,10.051579183608434,10.52723195880624,0.0,-1.0658141036401503e-14,0.08973259018747459,37.630612349325794,0.0415671285236503,0.025800286669851902,0.003822264691830002,0.013855709507883507,-0.016244624940277008
2018-10-12,19.31322460801278,14.41680541849681,0.008567018342066746,92.85714285714286,35.714285714285715,-57.142857142857146,0.7333333333333366,-91.02688694525435,-16.156620836533715,21.373137671231728,0.03171011016446389,35.87067186717841,0.03814824572959003,-0.065180102915952,41.92168958173315,19.272705977957,13.031462216028283,100.0,33.33333333333332,0.028631312310745116,39.59310233758503,-0.01513761467889918,-0.03623853211009176,-0.026605504587156048,-0.0555045871559634,-0.011009174311926606
2018-10-15,19.46036125538556,14.687156090276442,-0.132696334463823,85.71428571428572,28.571428571428573,-57.142857142857146,-0.49206349206349514,-85.34240850199996,-19.614425781603178,21.373137671231724,-0.050855849687053326,35.29982129385738,-0.5928679608977235,-0.05957074025405166,40.19278710919841,31.579419620548446,20.30123492737133,74.70764696660402,58.23588232220133,-0.031369024292648984,40.82889496410617,-0.021425244527247145,-0.011644154634373516,-0.04098742431299485,0.0041918956683746345,0.0628784350256173
2018-10-16,19.86890876876083,15.286227203155693,-0.2606469105654945,78.57142857142857,21.42857142857143,-57.142857142857146,-0.49166666666666675,-80.93269389780038,-24.300948540337096,25.180026442639324,-0.13445341932126015,35.417634324785624,-1.1704112076075839,-0.08652173913043468,37.84952572983145,35.934757843857376,28.928961147454313,40.42775264174874,71.7117998694509,-0.09241620339290879,37.366907316958326,0.009995240361732272,-0.0199904807234651,0.02617801047120416,0.08614945264159934,0.05378391242265579
2018-10-17,20.24827431689501,15.842507522257858,-0.5414478858637573,71.42857142857143,14.285714285714286,-57.142857142857146,-0.22413793103448484,-75.28951630152497,-20.837408899413255,25.180026442639342,-0.2107874494513461,24.507653870378245,-2.440765930964031,-0.1220521307405876,39.58129555029337,33.06055979643753,33.524912420281154,65.76205250395435,60.29915070410235,-0.14893990741102758,44.85819567520441,-0.029688972667294977,0.01602262016965139,0.07540056550424135,0.043355325164938785,0.06409048067860512
2018-10-18,20.95782488324852,17.28932991201669,-0.723943866517434,100.0,7.142857142857143,-92.85714285714286,-0.7183098591549325,-83.53723975101957,-27.375276893582846,30.181982245844157,-0.28775094026340886,18.508100717098795,-3.2844551819789016,-0.14244064972927958,36.312361553208575,17.98709677419345,28.99413813816282,0.0,35.39660171523435,-0.2059678306667645,40.15068987746794,0.04711024769305494,0.10830500242836338,0.07527926177756195,0.09664885866925688,0.14084507042253525
2018-10-19,20.40501991256617,18.02697116850173,-0.9047141168576012,100.0,0.0,-100.0,0.5974842767295607,-53.84711177527529,-12.033367763768526,13.218555293695678,-0.3455389386141494,14.08392966314945,-4.11736986485811,-0.1643410852713178,43.98331611811573,35.94693613162319,28.99819756741809,99.99999999999999,55.254017501318096,-0.2503424634421769,43.30912660209578,0.05844155844155852,0.026901669758812474,0.04730983302411862,0.08951762523191098,0.10435992578849707
2018-10-22,19.52329744043479,18.065280938254304,-1.0356847210079074,92.85714285714286,7.142857142857143,-85.71428571428572,0.614379084967321,25.20020571596477,4.1213593808473705,8.060905302726853,-0.36816303476971585,25.640134171662698,-4.713340065073548,-0.07386363636363637,52.06067969042368,53.21873100341808,35.71758796974493,100.0,66.66666666666664,-0.2709322210269205,51.08884622694638,-0.02979842243645936,-0.010517090271691676,0.02936021034180536,0.04338299737072737,-0.0008764241893076674
2018-10-23,18.70455514488422,18.100854295881692,-1.1691822874030038,85.71428571428572,0.0,-85.71428571428572,-0.8505747126436765,25.700588533344053,-3.929895064333227,8.060905302726864,-0.377153048740456,26.9306141658424,-5.330478422380789,-0.10255370895824892,48.03505246783339,71.77802117561149,53.64789610355095,74.43773241361393,91.47924413787128,-0.2813163064188884,44.8524073469045,0.019873532068653832,0.060975609756097615,0.07542908762420941,0.02981029810298108,0.0700090334236676
2018-10-24,18.16224243808632,17.930987570215745,-1.0941746519908016,78.57142857142857,7.142857142857143,-71.42857142857143,0.3431372549019558,67.19999999999959,1.383844178417366,11.112177249713614,-0.3695170816539254,33.00164579486156,-4.995919515970247,-0.07648261758691219,50.69192208920869,73.89277389277373,66.29650869060113,91.30854743161137,88.58209328174173,-0.27934999493388624,45.11915766177493,0.0403011514614704,0.05447298494242703,0.009743135518157864,0.049158547387068374,0.07307351638618265
2018-10-25,18.06240423039707,17.77266204531619,-0.9659159097617191,71.42857142857143,0.0,-71.42857142857143,0.8733333333333348,140.20052518500856,11.465788046966164,16.764507530436838,-0.33705911681910966,43.30313650833135,-4.40918298447001,-0.033333333333333465,55.732894023483084,78.91345213925844,74.86141573588127,100.0,88.58209328174173,-0.25932613096628643,55.78588885693557,0.013622818220519362,-0.02937420178799477,0.008514261387824629,0.03150276713495104,0.03959131545338446
